id,skill
0,Administer compensation or benefits programs
1,Administer staff recruitment or hiring activities
2,Administer tests to assess educational needs or progress
3,Advise communities or institutions regarding health or safety issues
4,Advise customers on technical or procedural issues
5,Advise customers on the use of goods or services
6,"Advise educators on curricula, instructional methods or policies"
7,Advise others about environmental management or conservation
8,Advise others on business or operational matters
9,Advise others on career or personal development
10,Advise others on financial matters
11,Advise others on health and safety issues
12,Advise others on health care issues
13,Advise others on health care matters
14,Advise others on human resources topics
15,Advise others on legal or regulatory compliance matters
16,Advise others on matters of public policy
17,"Advise others on technical requirements for surveying, mapping and spatial information systems"
18,Advise others regarding green practices or environmental concerns
19,Analyse and understand the local and national implications of proposed legislation
20,"Analyse budgetary, accounting or business data"
21,Analyse business or financial data
22,Analyse consumer trends
23,Analyse data to assess operational or project effectiveness
24,Analyse data to determine project feasibility
25,Analyse data to identify or resolve operational problems
26,Analyse data to identify trends or relationships among variables
27,Analyse data to inform operational decisions or activities
28,Analyse data to inform staffing decisions
29,Analyse design or requirements information for mechanical equipment or systems
30,Analyse design requirements for computer or electronics systems
31,Analyse financial information
32,Analyse financial records to improve budgeting or planning
33,Analyse financial records to improve efficiency
34,Analyse health-related data
35,Analyse impact of legal or regulatory changes
36,Analyse industry trends
37,"Analyse jobs using observation, survey or interview techniques"
38,Analyse market conditions or trends
39,Analyse market or customer related data
40,Analyse market research data
41,Analyse operational data
42,"Analyse operational data to evaluate operations, processes or products"
43,"Analyse physical, survey, or geographic data"
44,Analyse project data to determine specifications or requirements
45,Analyse risks related to investments in green technology
46,Analyse risks to minimise losses or damages
47,"Analyse security of systems, network or data"
48,Analyse test or validation data
49,Analyse website or related online data to track trends or usage
50,Answer customer questions about goods or services
51,Anticipate the organisational implications of machine learning models
52,Apply and maintain information security controls as required by policies or risk assessments
53,"Apply finishes to artwork, crafts, or displays"
54,Apply information technology to solve business or other applied problems
55,"Apply knowledge, understanding and respect of culturally significant sites or objects"
56,Apply machine learning techniques to data
57,Apply mathematical models of financial or business conditions
58,Apply mathematical principles or statistical approaches to solve problems in scientific or applied fields
59,Apply new technologies to improve work processes
60,Appraise environmental impact of regulations or policies
61,Appraise property values
62,Approve expenditures
63,"Arrange artwork, products or props"
64,Arrange collective bargaining agreements
65,Arrange delivery of goods or services
66,Assess database performance
67,Assess educational needs of students
68,Assess financial status of clients
69,Assess individual or community needs for educational or social services
70,Assess network-related risks and specify recovery routines and contingency procedures
71,Assess risks to business operations
72,"Assess the cost effectiveness of products, projects or services"
73,Assign duties or work schedules to employees
74,Attend events to develop professional knowledge
75,"Attend receptions, dinners, and conferences to meet people, exchange views and information, and develop working relationships"
76,Attend training sessions or events to develop or maintain professional knowledge
77,Authorise financial actions
78,"Build models, patterns or templates"
79,Calculate data to inform organisational operations
80,Calculate financial data
81,Calculate geographic positions from survey data
82,Calculate tax information
83,Calculate the volume or depth of liquids or gases
84,Calibrate scientific or technical equipment
85,Classify materials according to standard systems
86,Clean equipment or facilities
87,Clean work areas
88,Coach others
89,Collaborate with health care professionals to plan or provide treatment
90,Collaborate with other law enforcement or security agencies to share information
91,Collaborate with other teaching professionals to develop educational programs
92,Collaborate with others in marketing activities
93,Collaborate with others to determine design specifications or details
94,Collaborate with others to determine technical details of productions
95,Collaborate with others to develop or implement marketing strategies
96,Collaborate with others to develop or refine designs
97,Collaborate with others to prepare or perform artistic productions
98,Collaborate with others to resolve information technology issues
99,Collaborate with technical specialists to resolve design or development problems
100,Collate and analyse information for threat intelligence requirements from a variety of sources
101,Collect data about customer needs
102,Collect data about project sites
103,Collect environmental data or samples
104,Collect evidence for legal proceedings
105,Collect information about community health needs
106,"Collect medical information from patients, family members or other medical professionals"
107,Collect payments for goods or services
108,Collect samples of raw materials or finished products
109,"Collect, process and preserve digital records or evidence in accordance with procedures"
110,Communicate health and wellness information to the public
111,Communicate organisational information to customers or other stakeholders
112,Communicate organisational policies and procedures
113,Communicate project information to others
114,Communicate results of environmental research
115,"Communicate technical information to suppliers, contractors or regulatory agencies"
116,Communicate with customers to resolve complaints or ensure satisfaction
117,Communicate with government agencies
118,Communicate with management or other staff to resolve problems
119,Communicate with other construction or mining staff to discuss project details
120,Communicate with others to coordinate vehicle movement
121,Communicate with the public on environmental issues
122,Compile data or documentation
123,Compile operational data
124,Compile specialised bibliographies or lists of materials
125,Compute debt repayment schedules
126,Conduct eligibility or selection interviews
127,Conduct employee training programs
128,Conduct financial audits
129,Conduct financial or regulatory audits
130,Conduct gaming transactions
131,Conduct legal cyberattack simulations by designing and utilising hacking tools
132,Conduct market research
133,Conduct opinion surveys or needs assessments
134,Conduct quantitative failure analyses of operational data
135,Conduct research on social issues
136,Conduct research to gain information about products or processes
137,"Conduct research to inform art, designs or other work"
138,Conduct surveys in organisations
139,Conduct validation tests of equipment or processes
140,Confer with clients to determine needs
141,Confer with co-workers or internal stakeholders to coordinate operational activities
142,Confer with colleagues to formulate positions and strategies pertaining to pending issues
143,Confer with other staff to resolve design or operational problems
144,Confer with others about financial matters
145,Confer with others to conduct or arrange operational activities
146,Confer with peers to accomplish work
147,Confer with staff to coordinate business operations
148,Confer with technical staff to prepare designs or operational plans
149,Configure computer networks
150,"Construct distinctive physical objects for artistic, functional or commercial purposes"
151,Construct exhibits or parts of exhibits
152,Consult with others regarding health and safety associated with equipment or facilities
153,Contact current or potential customers to promote goods or services
154,Convert data among multiple digital or analogue formats
155,Coordinate activities of food service staff
156,"Coordinate activities with suppliers, contractors, clients, or other departments"
157,Coordinate and administer community or social service programs
158,Coordinate construction or installation activities
159,Coordinate design activities
160,Coordinate logistics for productions or events
161,Coordinate operational activities
162,Coordinate operational activities with external stakeholders
163,Coordinate project activities with other staff or departments
164,Coordinate recruitment activities
165,Coordinate regulatory documentation activities
166,Coordinate resource procurement activities
167,Coordinate safety or regulatory compliance activities
168,Coordinate sales campaigns
169,Coordinate software or hardware installation
170,Coordinate special events or programs
171,Coordinate with external parties to exchange information
172,Correspond with customers to answer questions or resolve complaints
173,Create computer-generated graphics or animation
174,Create construction or installation diagrams
175,Create databases to store electronic data
176,Create electrical schematics
177,Create electronic data backup to prevent loss of information
178,Create graphical representations of civil structures
